StoreID,name,address,latitude,longitude,hours,runtime
904,Abbotsford,81 Victoria Crescent<br>Abbotsford VIC 3067,-37.8058803,144.9983268,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
539,Aberfoyle Park,Unit 6 130-150 Hub Drive<br>Aberfoyle Park SA 5159,-35.0755783,138.5925952,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
550,Adelaide,422 Morphett Street<br>Adelaide SA 5000,-34.9339944,138.5945101,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
0624,Albany,136 Chester Pass Road<br>Albany WA 6330,-34.9929199,117.8739184,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 16:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8672,Albion Park,169 Tongarra Road<br>Albion Park NSW 2527,-34.5708844,150.7729236,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:30:00', 'Sunday: Closed']",2025-10-19 15:40:22
642,Albury,1100 Mate Street<br>Albury VIC 2640,-36.0531782,146.9315578,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
557,Aldgate,5/312 Mount Barker Road<br>Aldgate SA 5154,-35.0122676,138.7449967,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
592,Aldinga Beach,105-107 Rowley Road<br>Aldinga Beach SA 5173,-35.2750555,138.4584697,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
0870,Alice Springs,17 Whittaker Street<br>Alice Springs NT 0870,-23.6954954,133.8749927,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8696,Archerfield,"Shop 2, 903  Beaudesert Road<br>Archerfield QLD 4108",-27.5599549,153.0202544,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8649,Armidale,102 Beardy Street<br>Armidale NSW 2350,-30.5145301,151.6697998,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
573,Arndale,01/07/24 Gray Street<br>Kilkenny SA 5009,-34.8744902,138.5516661,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
965,Ashburton,203 High Street<br>Ashburton VIC 3147,-37.8628221,145.0767645,"['Monday: 09:30:00 to 17:30:00', 'Tuesday: 09:30:00 to 17:30:00', 'Wednesday: 09:30:00 to 17:30:00', 'Thursday: 09:30:00 to 17:30:00', 'Friday: 09:30:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
110,Bacchus Marsh,120A Main Street<br>Bacchus Marsh VIC 3340,-37.675507,144.4363628,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
0123,Bairnsdale,136 Main Street<br>Bairnsdale VIC 3875,-37.8254667,147.6311333,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
667,Balcatta,3/207 Balcatta Road<br>Balcatta WA 6021,-31.8613491,115.8156623,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
697,Baldivis,3/600 Baldivis Road<br>Baldivis WA 6171,-32.3301915,115.8207511,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 19:00:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8127,Balgowlah,7  Hayes Street<br>Balgowlah NSW 2093,-33.7886593,151.2668528,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:30:00', 'Sunday: Closed']",2025-10-19 15:40:22
