company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
PRIME FITNESS GYM KILMARNOCK LTD,SC836044,Active,Private limited company,,,2025-01-31,,,93130,65a Cessnock Road Hurlford Kilmarnock KA1 5DD Scotland
POWER HOUSE ELITE GYM LTD,16224923,Active,Private limited company,,,2025-02-03,,,93130,4 Ropewalk Gardens London E1 1PJ England
EXCOS GYM LTD,16226082,Active,Private limited company,,,2025-02-03,,,93199,45 Dorset Road Coventry CV1 4ED United Kingdom
131 FITNESS & GYM LTD,NI725936,Active,Private limited company,,,2025-02-02,,,93130,131 Shore Road Newtownabbey BT37 9SY Northern Ireland
M26 GYM CIC,SC837111,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-02-10,,,85510 93130 93290 96040,49 Macfarlane Place Uphall Broxburn EH52 5PS Scotland
GYM LENGTH LTD,16227651,Active,Private limited company,,,2025-02-04,,,47710,70 Town Street Rotherham S60 2JP United Kingdom
W6 GYM LTD,16229633,Active,Private limited company,,,2025-02-04,,,93130,Arch 200 Prebend Gardens Chiswick London W6 0XT United Kingdom
SMARTT GYM BH LIMITED,16176705,Active,Private limited company,,,2025-01-10,,,93130,61 Cranford Lane Hounslow TW5 9HA England
HELLA GYM LTD,SC833306,Active,Private limited company,,,2025-01-07,,,99999,2/1 Corran Court 1 Mackintosh Way Lochgilphead PA31 8UY Scotland
MY GYM LOCKER LTD,16254152,Active,Private limited company,,,2025-02-14,,,47640,105 Arden Road Birmingham B6 6AP United Kingdom
GYM PROGRESS LTD,SC841237,Active,Private limited company,,,2025-03-14,,,99999,104 Glasgow Road Edinburgh EH12 8LP Scotland
ONE PERCENT GYM LTD,NI726670,Active,Private limited company,,,2025-02-22,,,93130,255 Crockanboy Road Omagh BT79 7QP Northern Ireland
TRUE GRIT TRAINING GYM LTD,16268347,Active,Private limited company,,,2025-02-21,,,93130,Unitd2 Metro Business Park Hanley ST1 4AF United Kingdom
JANE’S GYM LIMITED,16277144,Active,Private limited company,,,2025-02-26,,,93130,16 Oatlands Close Weybridge KT13 9ED England
BWOMEN GYM LTD,16320596,Active,Private limited company,,,2025-03-17,,,93130,36 High Street Navenby Lincoln LN5 0DZ England
FLEX GYM SOLUTIONS LTD,16338758,Active,Private limited company,,,2025-03-24,,,93130,C/O Atr Accountancy & Bookkeeping Ltd Imperial House 79-81 Hornby Street Bury BL9 5BN England
FRONTLINE GYM LTD,16338575,Active,Private limited company,,,2025-03-24,,,47710 47910 93130,2 Baggholme Road Lincoln LN2 5BQ England
BASE GYM LIMITED,16347288,Active,Private limited company,,,2025-03-27,,,93130,34 High Street Yatton Bristol BS49 4JA England
PHOENIX GYM LTD,16359925,Active,Private limited company,,,2025-04-02,,,93130,4 Summerlands Park Drive Ilminster TA19 9BN England
GYM-TAN LTD,16364711,Active,Private limited company,,,2025-04-04,,,77390,Ivydale High Street Coalport Telford TF8 7HZ England
FULHAM BOXING GYM LTD,16365004,Active,Private limited company,,,2025-04-04,,,93130,28 Longcroft Easbury Court Watford WD19 4JX United Kingdom
THE TEMPLE GYM LTD,16378885,Active,Private limited company,,,2025-04-10,,,93130,45 Medway Road Gillingham ME7 1NL England
DENTDALE COMMUNITY GYM C.I.C.,16377215,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-09,,,93110,Gillside Dent Sedbergh LA10 5TE England
THE PADEL GYM LTD.,SC846082,Active,Private limited company,,,2025-04-23,,,93110,3/1 Bellevue Place Edinburgh EH7 4BS Scotland
GYM LEASE HIRE SOLUTIONS LTD,16409416,Active,Private limited company,,,2025-04-25,,,77210,2 Cilgant Y Meillion Rhoose Barry CF62 3LH Wales
GYM SUPPS UK LTD,16380515,Active,Private limited company,,,2025-04-10,,,46460 47910,213 Wood End Road Birmingham B24 8BL England
GYM GROUP STAFFORD LIMITED,16383516,Active,Private limited company,,,2025-04-12,,,93130,The Good Shed Newport Road Stafford ST16 2EX England
YOUR MENTAL GYM GUIDE LIMITED,16395208,Active,Private limited company,,,2025-04-17,,,96090,82a James Carter Road Mildenhall Suffolk IP28 7DE United Kingdom
CTFITNESS T/A THE HUB GYM LTD,16397800,Active,Private limited company,,,2025-04-22,,,86900,7 Roderick Close Abertawe SA1 6AJ United Kingdom
GYM BOSS LTD,16415667,Active,Private limited company,,,2025-04-29,,,47190 47710,38 Booker Avenue Milton Keynes MK13 8AR United Kingdom
GYM SWEETS LIMITED,16182675,Active,Private limited company,,,2025-01-14,,,47290,"Klaco House Third Floor, 28 St. John's Square London EC1M 4DN England"
FORGE GYM SURREY LTD,16188827,Active,Private limited by guarantee without share capital,,,2025-01-16,,,93130,Unit 3 13-19 Lower Road Sutton SM1 4QJ England
MASDA GYM LIVERPOOL LIMITED,16198274,Active,Private limited company,,,2025-01-21,,,93130,64 St. Anne Street Liverpool L3 3DY England
RICHMOND MY GYM LTD,16298591,Active,Private limited company,,,2025-03-06,,,93130,Unit 2 Dairy Court Orchard Road Richmond TW9 4FG United Kingdom
